active_mode,assessment_status,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,case_comparator,cohort,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,environment_seed,episode,estimated_cr,estimated_response_steps,evidence_status,execution_semantics,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,projected_boundary_margin,projected_braking_steps_met,projected_final_budget,projected_max_pressure,projected_next_pressure_upper,projected_total_cost,projection_mode,projection_passes,projection_reasons,public_forecast_checked,public_forecast_miss,public_forecast_overshoot,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,selected_plan_mode,step_cost,t,trigger,true_boundary,trust,unknown_streak
2,no_candidate_plan_within_declared_model,0.391312141,0.050240284,0.765201984,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.520014743,1.0,0.479985257,0.86,0.085968966,1,0.65,0.56,9739973216299283601,0,115.529886037,9.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.581297658,0,0.680286439,401,0.073,0,11,0.398041274,-0.004054618,,4,,0,0.045604301,0.100851372,evaluation,0,0.477806803,0.466194489,0.179765422,0,1.4094,0.634130454,0.453486657,2.3218,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,3.6582,2,available,baseline,,0.073,11,sustained_reserve,1.085376579,0.678051955,0
2,no_candidate_plan_within_declared_model,0.064420094,0.035234436,0.765946075,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.936091246,1.0,0.063908754,0.96,0.01357769,2,0.77,0.68,9739973216299283601,0,37.07250683,9.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.581997379,0,0.685024613,401,0.0858,0,12,0.436270161,0.008630434,,4,,0,0.0,0.127165006,evaluation,0,0.471857021,0.477806803,-0.191104694,0,1.311,1.005000569,0.502300595,2.3472,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,3.5724,2,available,baseline,,0.0858,12,sustained_reserve,1.085376579,0.688424422,0
2,no_candidate_plan_within_declared_model,0.152538802,0.014006511,0.765373787,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.823681959,1.0,0.176318041,0.96,0.031853506,2,0.89,0.8,9739973216299283601,0,30.918648483,8.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.582395554,0,0.692091769,401,0.0966,0,13,0.449090573,0.009887427,,4,,0,0.0,0.140766968,evaluation,0,0.460685597,0.471857021,-0.37389295,0,1.2126,1.187788825,0.518778,2.3598,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.4758,2,available,baseline,,0.0966,13,sustained_reserve,1.085376579,0.700863607,0
2,no_candidate_plan_within_declared_model,0.196637089,0.009324597,0.765552549,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.809623621,1.0,0.190376379,0.96,0.040955179,2,0.91,0.82,9739973216299283601,0,9.427447942,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.582969454,0,0.700063969,401,0.0984,0,14,0.494822177,0.02064068,,4,,0,0.0,0.142423049,evaluation,0,0.444971512,0.460685597,-0.821102625,0,1.1142,1.634998501,0.580662857,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.3774,2,available,baseline,,0.0984,14,sustained_reserve,1.085376579,0.713939332,0
2,no_candidate_plan_within_declared_model,0.173327824,0.008599127,0.764896595,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.873364497,1.0,0.126635503,0.96,0.036051286,2,0.91,0.82,9739973216299283601,0,107.465666591,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.583296467,0,0.706896881,401,0.0984,0,15,0.433266042,-0.004018364,,4,,0,0.061556134,0.011782938,evaluation,0,0.439720315,0.444971512,-0.191729427,0,1.0158,1.005625303,0.495447678,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,3.279,2,available,baseline,,0.0984,15,sustained_reserve,1.085376579,0.727880947,0
2,no_candidate_plan_within_declared_model,0.05359242,0.007977332,0.766826749,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.966988251,1.0,0.033011749,0.96,0.011133969,2,0.91,0.82,9739973216299283601,0,112.785419145,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.58555339,0,0.715450543,401,0.0984,0,16,0.414646908,-0.008398595,,4,,0,0.018619134,0.08643158,evaluation,0,0.424549297,0.439720315,-0.067984751,0,0.9174,0.881880626,0.472448313,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,3.1806,2,available,baseline,,0.0984,16,sustained_reserve,1.085376579,0.742302954,0
2,no_candidate_plan_within_declared_model,0.17123939,0.007198949,0.768471851,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.891097994,1.0,0.108902006,0.96,0.035523679,2,0.91,0.82,9739973216299283601,0,117.917416429,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.587103106,0,0.723775365,401,0.0984,0,17,0.396684918,-0.011267614,,4,,0,0.01796199,0.096336186,evaluation,0,0.416344892,0.424549297,0.018833687,0,0.819,0.795062189,0.451617304,2.3616,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.0822,2,available,baseline,,0.0984,17,sustained_reserve,1.085376579,0.756258514,0
2,no_candidate_plan_within_declared_model,0.169351036,0.00644139,0.768519732,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.836200871,1.0,0.163799129,0.96,0.035082258,2,0.91,0.82,9739973216299283601,0,113.994210931,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.588512625,0,0.731453326,401,0.0984,0,18,0.410416137,-0.003767964,,4,,0,0.0,0.139513944,evaluation,0,0.413321385,0.416344892,-0.17488913,0,0.7206,0.988785005,0.472848173,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,2.9838,2,available,baseline,,0.0984,18,sustained_reserve,1.085376579,0.769284434,0
2,no_candidate_plan_within_declared_model,0.027286053,0.005742696,0.770169554,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.97342275,1.0,0.02657725,0.96,0.005645135,2,0.91,0.82,9739973216299283601,0,112.340069998,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.591414265,0,0.739766912,401,0.0984,0,19,0.41620563,-0.000900727,,4,,0,0.0,0.122909106,evaluation,0,0.404275145,0.413321385,-0.249492314,0,0.6222,1.06338819,0.481504904,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,2.8854,2,available,baseline,,0.0984,19,sustained_reserve,1.085376579,0.783203157,0
2,no_candidate_plan_within_declared_model,0.011770833,0.004986159,0.771731775,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.981046588,1.0,0.018953412,0.96,0.002431805,2,0.91,0.82,9739973216299283601,0,120.575573305,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.594574492,0,0.747973838,401,0.0984,0,20,0.387381369,-0.009277787,,4,,0,0.028824262,0.064365243,evaluation,0,0.389039352,0.404275145,-0.019618602,0,0.5238,0.833514477,0.444303582,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,2.787,2,available,baseline,,0.0984,20,sustained_reserve,1.085376579,0.797797035,0
2,no_candidate_plan_within_declared_model,0.287865536,0.004239329,0.772948212,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.821795214,1.0,0.178204786,0.96,0.059389248,2,0.91,0.82,9739973216299283601,0,122.346204784,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.595878259,0,0.755794526,401,0.0984,0,21,0.381184159,-0.008353614,,4,,0,0.00619721,0.128447597,evaluation,0,0.377329468,0.389039352,-0.035601546,0,0.4254,0.849497421,0.439030545,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,2.6886,2,available,baseline,,0.0984,21,sustained_reserve,1.085376579,0.810886486,0
2,no_candidate_plan_within_declared_model,0.131251436,0.003527646,0.774521448,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.892030932,1.0,0.107969068,0.96,0.027042572,2,0.91,0.82,9739973216299283601,0,103.735607564,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.59858499,0,0.76391636,401,0.0984,0,22,0.413335519,0.003797878,,4,,0,0.0,0.132358238,evaluation,0,0.362728034,0.377329468,-0.359388722,0,0.327,1.173284597,0.483333397,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,2.5902,2,available,baseline,,0.0984,22,sustained_reserve,1.085376579,0.824425057,0
2,plan_found_within_declared_model,0.10096361,0.002788559,0.776857448,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.915088545,1.0,0.084911455,0.96,0.020773673,2,0.91,0.82,9739973216299283601,0,141.241053966,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.60200969,0,0.772583936,401,0.0984,0,23,0.315052187,-0.026826485,,4,,0,0.098283332,-0.066015709,evaluation,0,0.351850158,0.362728034,0.458843689,6,0.2286,0.355052187,0.354425702,2.3616,2,1,,1,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,0,2.4918,2,available,baseline,2,0.0984,23,sustained_reserve,1.085376579,0.839985605,0
2,no_candidate_plan_within_declared_model,0.027286053,0.00199981,0.777731995,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.97342275,1.0,0.02657725,0.96,0.005606018,2,0.91,0.82,9739973216299283601,0,137.214482418,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.605432255,0,0.779960798,401,0.0984,0,24,0.329145187,-0.014550639,,4,,0,0.0,0.122909106,evaluation,0,0.337856014,0.351850158,0.165166033,0,0.1302,0.648729843,0.380794548,2.3616,2,0,final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,2.3934,2,available,baseline,,0.0984,24,sustained_reserve,1.085376579,0.853358785,0
2,no_candidate_plan_within_declared_model,0.011770833,0.001328516,0.780435036,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.981046588,1.0,0.018953412,0.96,0.002415358,2,0.91,0.82,9739973216299283601,0,129.278962318,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.609880827,0,0.788681411,401,0.0984,0,25,0.356919507,-0.001853151,,4,,0,0.0,0.122013767,evaluation,0,0.325024623,0.337856014,-0.167347997,0,0.0318,0.981243873,0.421266356,2.3616,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,2.295,2,available,baseline,,0.0984,25,sustained_reserve,1.085376579,0.867680292,0
2,no_candidate_plan_within_declared_model,0.039056886,0.00053494,0.782396383,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.954469338,1.0,0.045530662,0.96,0.008002675,2,0.91,0.82,9739973216299283601,0,130.590003214,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.614039883,0,0.796815416,401,0.0984,0,26,0.352330864,-0.002673799,,4,,0,0.004588643,0.115745586,evaluation,0,0.309880929,0.325024623,-0.161541253,0,0.0,0.975437128,0.415857065,2.295,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,2.1966,2,available,baseline,,0.0984,26,sustained_reserve,1.085376579,0.881654187,0
2,no_candidate_plan_within_declared_model,0.039056886,0.0,0.783702996,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.954469338,1.0,0.045530662,0.96,0.007991753,2,0.91,0.82,9739973216299283601,0,159.078031907,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.618143587,0,0.804445546,401,0.0984,0,27,0.252622764,-0.031784089,,4,,0,0.0997081,-0.074493329,evaluation,0,0.306324642,0.309880929,0.521273112,4,0.0,0.292622764,0.287038674,2.1966,2,0,final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,2.0982,2,available,baseline,,0.0984,27,sustained_reserve,1.085376579,0.896692442,0
2,no_candidate_plan_within_declared_model,0.045506196,0.0,0.785808101,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.942525745,1.0,0.057474255,0.96,0.009299495,2,0.91,0.82,9739973216299283601,0,143.331736655,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.6227028,0,0.812658791,401,0.0984,0,28,0.307734797,-0.005715253,,4,,0,0.0,0.126404264,evaluation,0,0.295022626,0.306324642,-0.098550299,0,0.0,0.912446175,0.368219545,2.0982,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,1,0.020696123,loss_limiting_emergency_request_no_candidate_within_declared_model,2,1.9998,2,available,baseline,,0.0984,28,sustained_reserve,1.085376579,0.910591253,0
2,no_candidate_plan_within_declared_model,0.318987944,0.0,0.78715748,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.710588722,1.0,0.289411278,0.96,0.065097718,2,0.91,0.82,9739973216299283601,0,167.214692896,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.625690253,0,0.82093048,401,0.0984,0,29,0.22414445,-0.029077781,,4,,0,0.083590347,-0.012654348,evaluation,0,0.294674294,0.295022626,0.518440726,2,0.0,0.295455149,0.26126667,1.9998,2,0,final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,1.9014,2,available,baseline,,0.0984,29,sustained_reserve,1.085376579,0.925562295,0
2,no_candidate_plan_within_declared_model,0.260047782,0.0,0.786649624,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.763214018,1.0,0.236785982,0.96,0.0529961,2,0.91,0.82,9739973216299283601,0,150.917816914,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.628477097,0,0.827781226,401,0.0984,0,30,0.281183516,-0.003242727,,4,,0,0.0,0.148477939,evaluation,0,0.283734908,0.294674294,-0.185939636,0,0.0,0.999835512,0.344140789,1.9014,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,1,0.019916847,loss_limiting_emergency_request_no_candidate_within_declared_model,1,1.803,2,available,baseline,,0.0984,30,sustained_reserve,1.085376579,0.937909187,0
2,no_candidate_plan_within_declared_model,0.027286053,0.0,0.7896116,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.97342275,1.0,0.02657725,0.96,0.005554367,2,0.91,0.82,9739973216299283601,0,137.465083074,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.633874217,0,0.836292944,401,0.0984,0,31,0.301044688,0.003688443,,4,,0,0.0,0.122909106,evaluation,0,0.264484094,0.283734908,-0.399448877,0,0.0,1.213344753,0.370933131,1.803,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,1.7046,2,available,baseline,,0.0984,31,sustained_reserve,1.085376579,0.952081381,0
2,no_candidate_plan_within_declared_model,0.001493073,0.0,0.792697174,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.996824242,1.0,0.003175758,0.96,0.0003035,2,0.91,0.82,9739973216299283601,0,147.37206649,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.639628824,0,0.844793253,401,0.0984,0,32,0.293593643,0.000346596,,4,,0,0.007451045,0.105482399,evaluation,0,0.253200581,0.264484094,-0.339093519,0,0.0,1.152989394,0.360140239,1.7046,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,1.6062,2,available,baseline,,0.0984,32,sustained_reserve,1.085376579,0.966500597,0
2,no_candidate_plan_within_declared_model,0.169109817,0.0,0.79454006,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.895276217,1.0,0.104723783,0.96,0.03432663,2,0.91,0.82,9739973216299283601,0,155.352793633,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.643940695,0,0.852302849,401,0.0984,0,33,0.265661098,-0.008137146,,4,,0,0.027932545,0.075899932,evaluation,0,0.245576924,0.253200581,-0.134851156,0,0.0,0.948747032,0.323723952,1.6062,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,1.5078,2,available,baseline,,0.0984,33,sustained_reserve,1.085376579,0.98031946,0
2,no_candidate_plan_within_declared_model,0.129594396,0.0,0.797358196,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.84433785,1.0,0.15566215,0.96,0.026272782,2,0.91,0.82,9739973216299283601,0,161.601514312,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.649427544,0,0.861160361,401,0.0984,0,34,0.243790575,-0.012257159,,4,,0,0.021870522,0.094870129,evaluation,0,0.23227561,0.245576924,-0.041400324,0,0.0,0.8552962,0.297733416,1.5078,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,1.4094,2,available,baseline,,0.0984,34,sustained_reserve,1.085376579,0.994879092,0
2,no_candidate_plan_within_declared_model,0.148273075,0.0,0.799855683,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.909909874,1.0,0.090090126,0.96,0.03001533,2,0.91,0.82,9739973216299283601,0,169.733558979,7.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.65427216,0,0.868911532,401,0.0984,0,35,0.215328419,-0.017118658,,4,,0,0.028462156,0.073412995,evaluation,0,0.205673266,0.23227561,0.076437813,0,0.0,0.737458062,0.264409761,1.4094,2,0,final_braking_window_not_met|terminal_budget_reserve_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,1.311,2,available,baseline,,0.0984,35,sustained_reserve,1.085376579,1.0,0
